# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
(2^2xA5):2	480	106	6	9	false	fail	not_computed	false	96
(3^(1+2)+x3^2):2S4	11664	499	4	9	false	fail	not_computed	false	496,489
(3x19).2	114	8	3	5	false	true	2,3,19	true	none
(3x2S5).2	1440	170	7	12	false	fail	not_computed	false	159
(3xA4):2	72	30	6	9	false	true	2,3,3,4	true	none
(3xA6):2_2	2160	55	5	5	false	fail	not_computed	false	46,43
(3xM10):2	4320	136	7	9	false	fail	not_computed	false	117,113
(3xU4(2)):2	155520	959	7	5	false	fail	not_computed	false	954,953,952,951
(4^2x2)(2xS4)	1536	985	9	29	false	true	2,2,2,3,4,4,4	true	none
(4^2x2)S4	768	200	5	11	false	true	2,2,3,4,4,4	true	none
(4^2x3):S3	288	60	6	11	false	fail	not_computed	false	54
(4xA6):2	2880	345	8	9	false	fail	not_computed	false	335,328,327
(5x11).2	110	8	3	5	false	true	2,5,11	true	none
(7:3x3):2	126	18	4	8	false	true	2,3,3,7	true	none
(7xL2(7)):2	2352	50	5	5	false	fail	not_computed	false	41
(9x3).S3	162	32	5	9	false	true	2,3,3,3,3	true	none
(A4xA5):2	1440	143	6	7	false	fail	not_computed	false	133
(A5x3):2	360	44	5	5	false	fail	not_computed	false	38
(A5xA5):2	7200	103	6	3	false	fail	not_computed	false	95,82
(A5xA5):2^2	14400	265	8	6	false	fail	not_computed	false	253,229
(A5xA5):4	14400	162	4	4	false	fail	not_computed	false	161,138
(A5xD10).2	1200	76	5	7	false	fail	not_computed	false	75,71,70
(A6x3):2	2160	124	7	5	false	fail	not_computed	false	118,115,114
(A6xA4):2	8640	430	8	7	false	fail	not_computed	false	420,415,414
(A6xA5):2	43200	751	9	5	false	fail	not_computed	false	745,744,738,737
(A6xA6):2^2	518400	2027	12	6	false	fail	not_computed	false	2015,2014,1992,1962,1961
(A7x3):2	15120	217	6	5	false	fail	not_computed	false	208
